housing_median_age,median_income,median_house_value,priceCat,person_per_household,share_bedrooms,rooms_per_household,sm_PpH,sm_RpH,proximity
41.0,8.3252,452.6,above,2.5555555555555554,0.14659090909090908,6.984126984126984,0.9382696385929302,1.9436400005207741,COAST
21.0,8.3014,358.5,above,2.109841827768014,0.15579659106916466,6.238137082601054,0.7466129815349769,1.8306815933531095,COAST
52.0,7.2574,352.1,above,2.8022598870056497,0.12951601908657123,8.288135593220339,1.0304261941510984,2.1148250455691526,COAST
52.0,5.6431,341.3,above,2.547945205479452,0.18445839874411302,5.8173515981735155,0.9352872325648101,1.7608451063156079,COAST
52.0,3.8462,342.2,above,2.1814671814671813,0.1720958819913952,6.281853281853282,0.7799976694469031,1.8376650455195,COAST
52.0,4.0368,269.7,above,2.139896373056995,0.23177366702937977,4.761658031088083,0.7607574040561472,1.5605959334508015,COAST
52.0,3.6591,299.2,above,2.1284046692607004,0.19289940828402366,4.9319066147859925,0.7553727175267614,1.5957256505701185,COAST
52.0,3.12,241.4,above,1.7882534775888717,0.22132731958762886,4.797527047913447,0.581239432692776,1.5681005868022089,COAST
42.0,2.0804,226.7,above,2.026890756302521,0.2602739726027397,4.294117647058823,0.7065029717415009,1.457246097092175,COAST
52.0,3.6912,261.1,above,2.172268907563025,0.1992110453648915,4.970588235294118,0.7757722008369543,1.6035381903069121,COAST
52.0,3.2031,281.5,above,2.263681592039801,0.19709355131698456,5.477611940298507,0.8169925108918745,1.700669228663604,COAST
52.0,3.2705,241.8,above,2.0490463215258856,0.2146731373108764,4.772479564032698,0.7173744758952696,1.5628659945829713,COAST
52.0,3.075,213.5,above,2.3461538461538463,0.1902850260939382,5.322649572649572,0.8527773261518292,1.6719712193445337,COAST
52.0,2.6736,191.3,above,1.9827586206896552,0.2744252873563218,4.0,0.6844891178168307,1.3862943611198906,COAST
52.0,1.9167,159.2,above,1.9548387096774194,0.23685206205069997,4.262903225806451,0.6703076885901226,1.4499504365651519,COAST
50.0,2.125,140.0,below,2.640151515151515,0.2526785714285714,4.242424242424242,0.9708363076142077,1.445134861142824,COAST
52.0,2.775,152.5,above,2.395770392749245,0.17650050864699898,5.9395770392749245,0.8737048462577851,1.781637925330049,COAST
52.0,2.1202,155.5,above,2.1386138613861387,0.23859934853420195,4.052805280528053,0.7601578908429056,1.3994093031977186,COAST
50.0,1.9911,158.7,above,2.3627684964200477,0.20321572130415363,5.343675417661098,0.8598340232064978,1.675913696676617,COAST
52.0,2.6033,162.9,above,2.5090909090909093,0.19827012641383898,5.465454545454546,0.9199204999247338,1.6984472920864033,COAST
40.0,1.3578,147.5,below,2.463855421686747,0.24500665778961384,4.524096385542169,0.9017273676862585,1.5094178634075917,COAST
42.0,1.7135,159.8,above,2.5382513661202184,0.2239170225747407,4.478142076502732,0.9314754054124722,1.4992082453424633,COAST
52.0,1.725,113.9,below,2.1234309623430963,0.22208538587848933,5.096234309623431,0.7530331589844317,1.6285018963383315,COAST
52.0,2.1806,99.7,below,2.624615384615385,0.19964454976303317,5.193846153846154,0.9649343651619418,1.647474492826165,COAST
52.0,2.6,132.6,below,2.3838862559241707,0.19649280575539568,5.270142180094787,0.8687320366236727,1.6620573413344613,COAST
41.0,2.4038,107.5,below,2.6638655462184873,0.22990654205607478,4.495798319327731,0.9797782807657511,1.503143253784477,COAST
49.0,2.4597,93.8,below,2.5397489539748954,0.215929203539823,4.7280334728033475,0.9320652391279876,1.5535093597748757,COAST
52.0,1.808,105.5,below,2.7758186397984885,0.22181243414120128,4.7808564231738035,1.0209457090256693,1.5646196984826828,COAST
50.0,1.6424,108.9,below,2.3911205073995774,0.23631123919308358,4.40169133192389,0.8717620876241876,1.4819888606829812,COAST
52.0,1.6875,132.0,below,2.5483870967741935,0.2194787379972565,4.703225806451613,0.9354606479818752,1.5482486150894115,COAST
49.0,1.9274,122.3,below,2.2830687830687832,0.23329853862212943,5.068783068783069,0.8255204954638403,1.6231007629112182,COAST
52.0,1.9615,115.2,below,2.6485260770975056,0.22340919647004182,4.882086167800454,0.9740032879413264,1.585572621917517,COAST
48.0,1.7969,110.4,below,3.062686567164179,0.21279916753381894,5.737313432835821,1.1192924939056483,1.7469910577051713,COAST
49.0,1.375,104.9,below,2.291793313069909,0.22114803625377644,5.0303951367781155,0.8293346172425842,1.6154985370457913,COAST
51.0,2.7303,109.7,below,2.3470149253731343,0.2153846153846154,4.972014925373134,0.8531442761895838,1.6038251755291428,COAST
49.0,1.4861,97.2,below,2.159090909090909,0.23209876543209876,4.6022727272727275,0.7696872576822797,1.5265502526283328,COAST
48.0,1.0972,104.5,below,2.6390374331550803,0.24026696329254726,4.807486631016043,0.9704142420189497,1.5701744176170336,COAST
52.0,1.4103,103.9,below,2.235732009925558,0.25810721376571805,3.7493796526054592,0.8045686956616549,1.3215904003260566,COAST
52.0,3.48,191.4,above,2.2297734627831716,0.22448979591836735,4.757281553398058,0.8018999941159132,1.5596764028750365,COAST
52.0,2.5898,176.0,above,1.978448275862069,0.29399671052631576,3.4942528735632186,0.6823128383942352,1.251119582751638,COAST
52.0,2.0978,155.4,above,2.3949367088607594,0.25165165165165165,4.215189873417722,0.8733568041507563,1.4386946375134224,COAST
51.0,1.2852,150.0,above,2.076305220883534,0.33226495726495725,3.7590361445783134,0.7305899780437215,1.3241625800128844,COAST
49.0,1.025,118.8,below,2.4444444444444446,0.28330995792426367,3.7724867724867726,0.8938178760220965,1.3277344053546536,COAST
52.0,3.9643,188.8,above,2.3585858585858586,0.21263157894736842,4.797979797979798,0.8580622269743621,1.5681949539000513,COAST
52.0,3.0125,184.4,above,2.26027397260274,0.21552321552321552,4.941780821917808,0.8154860327521896,1.5977257565055891,COAST
